Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4B-A1,D4B-A1,cis,2.135,10608.0765
2,D4B-A2,D4B-A2,cis,2.131,596149.3509
3,D4B-A3,D4B-A3,cis,2.131,832356.8893
4,D4B-A4,D4B-A4,cis,2.132,599314.9641
5,D4B-A5,D4B-A5,cis,2.132,165053.7927
6,D4B-A6,D4B-A6,cis,2.130,1037797.6252
7,D4B-A7,D4B-A7,cis,2.133,904130.0436
8,D4B-A8,D4B-A8,cis,2.130,622720.3129
9,D4B-A9,D4B-A9,cis,2.133,461017.4094
10,D4B-A10,D4B-A10,cis,2.132,522313.6249
11,D4B-A11,D4B-A11,cis,2.131,758574.9149
12,D4B-A12,D4B-A12,cis,2.136,1620849.5378
13,D4B-B1,D4B-B1,cis,2.130,655264.5082
14,D4B-B2,D4B-B2,cis,2.131,988524.5800
15,D4B-B3,D4B-B3,cis,2.130,827128.4886
16,D4B-B4,D4B-B4,cis,2.129,802558.5594
17,D4B-B5,D4B-B5,cis,2.129,1253487.2492
18,D4B-B6,D4B-B6,cis,2.131,140666.6424
19,D4B-B7,D4B-B7,cis,2.129,72352.1358
20,D4B-B8,D4B-B8,cis,2.131,585216.7916
21,D4B-B9,D4B-B9,cis,2.128,655926.6351
22,D4B-B10,D4B-B10,cis,2.129,1083826.6351
23,D4B-B11,D4B-B11,cis,2.128,1211010.8721
24,D4B-B12,D4B-B12,cis,2.131,126081.0176
25,D4B-C1,D4B-C1,cis,2.129,345582.4055
26,D4B-C2,D4B-C2,cis,2.130,747616.0402
27,D4B-C3,D4B-C3,cis,2.129,793727.7998
28,D4B-C4,D4B-C4,cis,2.130,889306.8817
29,D4B-C5,D4B-C5,cis,2.131,960399.2590
30,D4B-C6,D4B-C6,cis,2.132,834377.3214
31,D4B-C7,D4B-C7,cis,2.130,709766.1800
32,D4B-C8,D4B-C8,cis,2.130,1083628.8014
33,D4B-C9,D4B-C9,cis,2.130,884954.1580
34,D4B-C10,D4B-C10,cis,2.129,1252503.1873
35,D4B-C11,D4B-C11,cis,2.128,917251.2372
36,D4B-C12,D4B-C12,cis,2.129,125576.7091
37,D4B-D1,D4B-D1,cis,2.130,553220.3980
38,D4B-D2,D4B-D2,cis,2.129,1060862.2930
39,D4B-D3,D4B-D3,cis,2.127,41229.0848
40,D4B-D4,D4B-D4,cis,2.132,762177.5693
41,D4B-D5,D4B-D5,cis,2.129,727345.2907
42,D4B-D6,D4B-D6,cis,2.129,1482465.0200
43,D4B-D7,D4B-D7,cis,2.128,1002592.9373
44,D4B-D8,D4B-D8,cis,2.128,832788.4600
45,D4B-D9,D4B-D9,cis,2.129,822680.9189
46,D4B-D10,D4B-D10,cis,2.130,621049.0224
47,D4B-D11,D4B-D11,cis,2.128,794962.4916
48,D4B-D12,D4B-D12,cis,2.132,895598.6488
49,D4B-E1,D4B-E1,cis,2.131,614392.2354
50,D4B-E2,D4B-E2,cis,2.128,710831.7590
51,D4B-E3,D4B-E3,cis,2.131,51510.7583
52,D4B-E4,D4B-E4,cis,2.132,643034.7194
53,D4B-E5,D4B-E5,cis,2.131,590325.2592
54,D4B-E6,D4B-E6,cis,2.130,699797.9866
