Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
55,D4B-E7,D4B-E7,cis,2.130,303582.2277
56,D4B-E8,D4B-E8,cis,2.129,591146.7002
57,D4B-E9,D4B-E9,cis,2.129,734648.3851
58,D4B-E10,D4B-E10,cis,2.129,52694.9971
59,D4B-E11,D4B-E11,cis,2.132,180645.4218
60,D4B-E12,D4B-E12,cis,2.129,992836.0797
61,D4B-F1,D4B-F1,cis,2.129,457702.1345
62,D4B-F2,D4B-F2,cis,2.131,678266.2698
63,D4B-F3,D4B-F3,cis,2.132,121078.5919
64,D4B-F4,D4B-F4,cis,2.129,36236.8574
65,D4B-F5,D4B-F5,cis,2.126,868572.9349
66,D4B-F6,D4B-F6,cis,2.128,669421.0523
67,D4B-F7,D4B-F7,cis,2.129,625479.9570
68,D4B-F8,D4B-F8,cis,2.129,58025.8768
69,D4B-F9,D4B-F9,cis,2.129,648472.6872
70,D4B-F10,D4B-F10,cis,2.128,685370.3636
71,D4B-F11,D4B-F11,cis,2.132,31534.1645
72,D4B-F12,D4B-F12,cis,2.130,807089.9941
73,D4B-G1,D4B-G1,cis,2.130,457177.7871
74,D4B-G2,D4B-G2,cis,2.129,581958.5460
75,D4B-G3,D4B-G3,cis,2.130,413353.4436
76,D4B-G4,D4B-G4,cis,2.129,634699.0218
77,D4B-G5,D4B-G5,cis,2.127,512214.4780
78,D4B-G6,D4B-G6,cis,2.129,529902.9993
79,D4B-G7,D4B-G7,cis,2.131,594753.8786
80,D4B-G8,D4B-G8,cis,2.130,344386.6371
81,D4B-G9,D4B-G9,cis,2.128,556674.7871
82,D4B-G10,D4B-G10,cis,2.128,829948.4184
83,D4B-G11,D4B-G11,cis,2.132,850747.7518
84,D4B-G12,D4B-G12,cis,2.130,705002.5497
85,D4B-H1,D4B-H1,cis,2.132,528552.4588
86,D4B-H2,D4B-H2,cis,2.129,492129.7227
87,D4B-H3,D4B-H3,cis,2.130,151245.4436
88,D4B-H4,D4B-H4,cis,2.130,300865.4313
89,D4B-H5,D4B-H5,cis,2.133,25165.1337
90,D4B-H6,D4B-H6,cis,2.130,513793.4467
91,D4B-H7,D4B-H7,cis,2.129,509327.3869
92,D4B-H8,D4B-H8,cis,,
93,D4B-H9,D4B-H9,cis,2.130,30711.1245
94,D4B-H10,D4B-H10,cis,2.131,31641.2041
95,D4B-H11,D4B-H11,cis,2.128,798629.9843
96,D4B-H12,D4B-H12,cis,2.131,837980.9989
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4B-A1,D4B-A1,trans,,
2,D4B-A2,D4B-A2,trans,2.606,470558.1063
3,D4B-A3,D4B-A3,trans,2.606,720420.2137
4,D4B-A4,D4B-A4,trans,2.607,474182.0998
5,D4B-A5,D4B-A5,trans,2.607,182762.7377
6,D4B-A6,D4B-A6,trans,2.604,830565.5705
7,D4B-A7,D4B-A7,trans,2.606,744116.0010
8,D4B-A8,D4B-A8,trans,2.604,499422.6027
9,D4B-A9,D4B-A9,trans,2.609,408375.2038
10,D4B-A10,D4B-A10,trans,2.605,431046.9895
11,D4B-A11,D4B-A11,trans,2.605,607699.4556
12,D4B-A12,D4B-A12,trans,2.610,1319468.1548
13,D4B-B1,D4B-B1,trans,2.605,595465.1274
14,D4B-B2,D4B-B2,trans,2.604,968677.1522
15,D4B-B3,D4B-B3,trans,2.604,944965.4376
16,D4B-B4,D4B-B4,trans,2.602,254677.0503
17,D4B-B5,D4B-B5,trans,2.602,1106414.8263
18,D4B-B6,D4B-B6,trans,2.605,1076654.3511
19,D4B-B7,D4B-B7,trans,2.603,59900.3486
20,D4B-B8,D4B-B8,trans,2.605,460876.9261
21,D4B-B9,D4B-B9,trans,2.603,396300.2279
22,D4B-B10,D4B-B10,trans,2.604,768922.0501
23,D4B-B11,D4B-B11,trans,2.601,1112018.3506
24,D4B-B12,D4B-B12,trans,2.605,91905.3939
25,D4B-C1,D4B-C1,trans,2.604,253714.4597
26,D4B-C2,D4B-C2,trans,2.606,613144.8850
27,D4B-C3,D4B-C3,trans,2.606,781401.5491
28,D4B-C4,D4B-C4,trans,2.604,762084.4781
29,D4B-C5,D4B-C5,trans,2.604,627320.3932
30,D4B-C6,D4B-C6,trans,2.606,635351.6089
31,D4B-C7,D4B-C7,trans,2.603,598403.2531
32,D4B-C8,D4B-C8,trans,2.605,1059866.1105
33,D4B-C9,D4B-C9,trans,2.607,829237.2528
34,D4B-C10,D4B-C10,trans,2.604,1124467.3263
35,D4B-C11,D4B-C11,trans,2.603,855912.2043
36,D4B-C12,D4B-C12,trans,2.602,97523.1676
37,D4B-D1,D4B-D1,trans,2.603,556412.5130
38,D4B-D2,D4B-D2,trans,2.603,675691.6177
39,D4B-D3,D4B-D3,trans,2.600,37038.0726
40,D4B-D4,D4B-D4,trans,2.607,672877.6016
41,D4B-D5,D4B-D5,trans,2.603,569107.4948
42,D4B-D6,D4B-D6,trans,2.603,609313.9761
43,D4B-D7,D4B-D7,trans,2.602,916204.8446
44,D4B-D8,D4B-D8,trans,2.602,842569.0265
45,D4B-D9,D4B-D9,trans,2.602,804235.5507
46,D4B-D10,D4B-D10,trans,2.604,877870.3790
47,D4B-D11,D4B-D11,trans,2.602,877930.9543
48,D4B-D12,D4B-D12,trans,2.604,924805.0518
49,D4B-E1,D4B-E1,trans,2.606,506975.7146
50,D4B-E2,D4B-E2,trans,2.604,596344.8868
51,D4B-E3,D4B-E3,trans,2.604,27256.5929
52,D4B-E4,D4B-E4,trans,2.603,231062.6672
53,D4B-E5,D4B-E5,trans,2.605,463978.9661
54,D4B-E6,D4B-E6,trans,2.604,704331.5903
55,D4B-E7,D4B-E7,trans,2.604,144038.0684
56,D4B-E8,D4B-E8,trans,2.606,365402.0421
57,D4B-E9,D4B-E9,trans,2.604,638960.9395
58,D4B-E10,D4B-E10,trans,2.603,35621.2881
59,D4B-E11,D4B-E11,trans,2.605,115384.4874
60,D4B-E12,D4B-E12,trans,2.606,998220.5092
61,D4B-F1,D4B-F1,trans,2.602,469114.2181
62,D4B-F2,D4B-F2,trans,2.604,623267.7656
63,D4B-F3,D4B-F3,trans,2.606,518155.8793
64,D4B-F4,D4B-F4,trans,2.603,45462.4585
65,D4B-F5,D4B-F5,trans,2.596,390609.4629
66,D4B-F6,D4B-F6,trans,2.602,699179.7901
67,D4B-F7,D4B-F7,trans,2.604,606193.7591
68,D4B-F8,D4B-F8,trans,2.603,199657.2319
69,D4B-F9,D4B-F9,trans,2.602,717721.0410
70,D4B-F10,D4B-F10,trans,2.602,793694.7445
71,D4B-F11,D4B-F11,trans,2.606,34308.2505
72,D4B-F12,D4B-F12,trans,2.605,872544.8083
73,D4B-G1,D4B-G1,trans,2.603,363368.1089
74,D4B-G2,D4B-G2,trans,2.603,614479.8638
75,D4B-G3,D4B-G3,trans,2.605,356055.1100
76,D4B-G4,D4B-G4,trans,2.605,508968.7981
77,D4B-G5,D4B-G5,trans,2.601,581649.9304
78,D4B-G6,D4B-G6,trans,2.604,682740.2870
79,D4B-G7,D4B-G7,trans,2.605,508103.1913
80,D4B-G8,D4B-G8,trans,2.604,682186.9277
81,D4B-G9,D4B-G9,trans,2.602,678430.6155
82,D4B-G10,D4B-G10,trans,2.605,761211.7177
83,D4B-G11,D4B-G11,trans,2.605,486104.5262
84,D4B-G12,D4B-G12,trans,2.604,835225.1732
85,D4B-H1,D4B-H1,trans,2.606,614181.2627
86,D4B-H2,D4B-H2,trans,2.604,441227.1500
87,D4B-H3,D4B-H3,trans,2.605,191212.3614
88,D4B-H4,D4B-H4,trans,2.606,224430.4252
89,D4B-H5,D4B-H5,trans,2.606,19068.8743
90,D4B-H6,D4B-H6,trans,2.604,550926.7665
91,D4B-H7,D4B-H7,trans,2.605,660093.0569
92,D4B-H8,D4B-H8,trans,,
93,D4B-H9,D4B-H9,trans,2.604,28860.8661
94,D4B-H10,D4B-H10,trans,2.604,29218.5793
95,D4B-H11,D4B-H11,trans,2.602,987185.9399
96,D4B-H12,D4B-H12,trans,2.605,1014375.3732
