Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3B-A1,D3B-A1,cis,,
2,D3B-A2,D3B-A2,cis,2.123,910031.0511
3,D3B-A3,D3B-A3,cis,2.126,221364.0013
4,D3B-A4,D3B-A4,cis,2.125,728704.8396
5,D3B-A5,D3B-A5,cis,2.126,90385.6328
6,D3B-A6,D3B-A6,cis,2.125,606771.3207
7,D3B-A7,D3B-A7,cis,2.126,492554.1988
8,D3B-A8,D3B-A8,cis,2.125,603428.2656
9,D3B-A9,D3B-A9,cis,2.127,129515.3220
10,D3B-A10,D3B-A10,cis,2.126,825069.7310
11,D3B-A11,D3B-A11,cis,2.127,511165.9777
12,D3B-A12,D3B-A12,cis,2.125,778411.8060
13,D3B-B1,D3B-B1,cis,2.127,532232.5596
14,D3B-B2,D3B-B2,cis,2.126,24615.6016
15,D3B-B3,D3B-B3,cis,2.125,340552.2426
16,D3B-B4,D3B-B4,cis,2.126,174067.3092
17,D3B-B5,D3B-B5,cis,2.127,864188.4194
18,D3B-B6,D3B-B6,cis,2.124,568866.6371
19,D3B-B7,D3B-B7,cis,2.127,1073717.8523
20,D3B-B8,D3B-B8,cis,2.125,740150.1992
21,D3B-B9,D3B-B9,cis,2.126,698508.5722
22,D3B-B10,D3B-B10,cis,2.127,625372.1201
23,D3B-B11,D3B-B11,cis,2.126,717649.2123
24,D3B-B12,D3B-B12,cis,2.125,17353.0436
25,D3B-C1,D3B-C1,cis,2.124,564105.1868
26,D3B-C2,D3B-C2,cis,2.125,148019.3565
27,D3B-C3,D3B-C3,cis,2.126,829901.5367
28,D3B-C4,D3B-C4,cis,2.125,25190.8182
29,D3B-C5,D3B-C5,cis,2.125,529155.6329
30,D3B-C6,D3B-C6,cis,2.126,35862.8498
31,D3B-C7,D3B-C7,cis,2.125,858804.5626
32,D3B-C8,D3B-C8,cis,2.125,487407.3058
33,D3B-C9,D3B-C9,cis,2.126,609699.2165
34,D3B-C10,D3B-C10,cis,2.126,546215.2601
35,D3B-C11,D3B-C11,cis,,
36,D3B-C12,D3B-C12,cis,2.127,499753.1746
37,D3B-D1,D3B-D1,cis,2.127,1033677.8960
38,D3B-D2,D3B-D2,cis,2.126,342667.2022
39,D3B-D3,D3B-D3,cis,2.128,729149.4179
40,D3B-D4,D3B-D4,cis,2.126,812427.8256
41,D3B-D5,D3B-D5,cis,2.126,142192.2101
42,D3B-D6,D3B-D6,cis,2.127,683578.0495
43,D3B-D7,D3B-D7,cis,2.125,558875.2186
44,D3B-D8,D3B-D8,cis,2.125,580296.1048
45,D3B-D9,D3B-D9,cis,2.126,741821.6376
46,D3B-D10,D3B-D10,cis,2.125,511962.0303
47,D3B-D11,D3B-D11,cis,2.126,887279.2911
48,D3B-D12,D3B-D12,cis,2.126,550563.2414
49,D3B-E1,D3B-E1,cis,2.127,382528.3007
50,D3B-E2,D3B-E2,cis,2.126,29324.7999
51,D3B-E3,D3B-E3,cis,2.127,770648.6439
52,D3B-E4,D3B-E4,cis,2.128,934290.5867
53,D3B-E5,D3B-E5,cis,2.130,816507.6236
54,D3B-E6,D3B-E6,cis,2.128,505145.0694
55,D3B-E7,D3B-E7,cis,2.129,1665878.8960
56,D3B-E8,D3B-E8,cis,2.129,531545.0776
57,D3B-E9,D3B-E9,cis,2.130,580096.3603
58,D3B-E10,D3B-E10,cis,2.129,554576.8725
59,D3B-E11,D3B-E11,cis,2.129,30856.6200
60,D3B-E12,D3B-E12,cis,2.129,634381.1865
61,D3B-F1,D3B-F1,cis,2.129,429073.5197
62,D3B-F2,D3B-F2,cis,2.129,568281.0829
63,D3B-F3,D3B-F3,cis,2.129,485721.2139
64,D3B-F4,D3B-F4,cis,2.131,441216.1061
65,D3B-F5,D3B-F5,cis,2.128,770009.5685
66,D3B-F6,D3B-F6,cis,2.129,920558.8816
67,D3B-F7,D3B-F7,cis,2.127,779549.3070
68,D3B-F8,D3B-F8,cis,2.127,556477.5239
69,D3B-F9,D3B-F9,cis,2.130,36220.7082
