Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4F-A1,D4F-A1,cis,,
2,D4F-A2,D4F-A2,cis,2.130,1069306.0725
3,D4F-A3,D4F-A3,cis,2.129,92043.1756
4,D4F-A4,D4F-A4,cis,2.130,1109154.0392
5,D4F-A5,D4F-A5,cis,2.131,712617.5004
6,D4F-A6,D4F-A6,cis,2.130,1035139.0329
7,D4F-A7,D4F-A7,cis,2.134,784437.9730
8,D4F-A8,D4F-A8,cis,2.131,1017585.3476
9,D4F-A9,D4F-A9,cis,2.130,778557.6987
10,D4F-A10,D4F-A10,cis,2.134,911300.2099
11,D4F-A11,D4F-A11,cis,2.131,843373.0999
12,D4F-A12,D4F-A12,cis,2.132,1222307.1489
13,D4F-B1,D4F-B1,cis,2.132,74101.7991
14,D4F-B2,D4F-B2,cis,2.129,1093850.7628
15,D4F-B3,D4F-B3,cis,2.130,874212.5729
16,D4F-B4,D4F-B4,cis,2.131,72997.0579
17,D4F-B5,D4F-B5,cis,2.130,693341.8341
18,D4F-B6,D4F-B6,cis,2.131,63481.6283
19,D4F-B7,D4F-B7,cis,2.130,584461.2459
20,D4F-B8,D4F-B8,cis,2.127,1035281.6760
21,D4F-B9,D4F-B9,cis,2.132,742900.4241
22,D4F-B10,D4F-B10,cis,2.127,804081.9417
23,D4F-B11,D4F-B11,cis,2.129,674733.9048
24,D4F-B12,D4F-B12,cis,2.126,911128.8989
25,D4F-C1,D4F-C1,cis,2.129,742073.8046
26,D4F-C2,D4F-C2,cis,2.129,821290.4376
27,D4F-C3,D4F-C3,cis,2.130,822162.5838
28,D4F-C4,D4F-C4,cis,2.130,68158.8452
29,D4F-C5,D4F-C5,cis,2.131,49312.6840
30,D4F-C6,D4F-C6,cis,2.129,882151.9518
31,D4F-C7,D4F-C7,cis,2.128,787194.5562
32,D4F-C8,D4F-C8,cis,2.130,188827.5856
33,D4F-C9,D4F-C9,cis,2.129,760774.6417
34,D4F-C10,D4F-C10,cis,2.131,813515.3727
35,D4F-C11,D4F-C11,cis,2.129,46740.8631
36,D4F-C12,D4F-C12,cis,2.128,1134937.1089
37,D4F-D1,D4F-D1,cis,2.128,94158.3984
38,D4F-D2,D4F-D2,cis,2.128,805692.8542
