Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3B-A1,D3B-A1,cis,2.126,9088.4576
2,D3B-A2,D3B-A2,cis,2.125,413554.5941
3,D3B-A3,D3B-A3,cis,2.126,444391.7646
4,D3B-A4,D3B-A4,cis,2.124,287817.3765
5,D3B-A5,D3B-A5,cis,2.124,516404.0962
6,D3B-A6,D3B-A6,cis,2.125,374273.4356
7,D3B-A7,D3B-A7,cis,2.124,361996.3896
8,D3B-A8,D3B-A8,cis,2.124,366193.4344
9,D3B-A9,D3B-A9,cis,2.126,367216.3166
10,D3B-A10,D3B-A10,cis,2.126,359345.2539
11,D3B-A11,D3B-A11,cis,2.125,347840.6336
12,D3B-A12,D3B-A12,cis,2.123,471463.3080
13,D3B-B1,D3B-B1,cis,2.125,50038.0919
14,D3B-B2,D3B-B2,cis,2.125,545597.7904
15,D3B-B3,D3B-B3,cis,2.128,464084.1063
16,D3B-B4,D3B-B4,cis,2.128,374112.4583
17,D3B-B5,D3B-B5,cis,2.126,360863.4818
18,D3B-B6,D3B-B6,cis,2.127,40735.6662
19,D3B-B7,D3B-B7,cis,2.127,370611.5933
20,D3B-B8,D3B-B8,cis,2.126,736847.7124
21,D3B-B9,D3B-B9,cis,2.127,305944.9398
22,D3B-B10,D3B-B10,cis,2.129,549712.6712
23,D3B-B11,D3B-B11,cis,2.129,262149.7693
24,D3B-B12,D3B-B12,cis,2.128,68003.3758
25,D3B-C1,D3B-C1,cis,2.126,606053.1668
26,D3B-C2,D3B-C2,cis,2.126,479630.7595
27,D3B-C3,D3B-C3,cis,2.126,549789.0936
28,D3B-C4,D3B-C4,cis,2.128,229470.5404
29,D3B-C5,D3B-C5,cis,2.130,559005.4321
30,D3B-C6,D3B-C6,cis,2.128,605632.0253
31,D3B-C7,D3B-C7,cis,2.127,563374.7635
32,D3B-C8,D3B-C8,cis,2.128,70953.2158
33,D3B-C9,D3B-C9,cis,2.127,507404.0918
34,D3B-C10,D3B-C10,cis,2.125,511971.3685
35,D3B-C11,D3B-C11,cis,2.128,29757.7734
36,D3B-C12,D3B-C12,cis,2.128,294387.1240
37,D3B-D1,D3B-D1,cis,2.130,388668.1260
38,D3B-D2,D3B-D2,cis,2.127,622853.8138
39,D3B-D3,D3B-D3,cis,2.128,445115.9440
40,D3B-D4,D3B-D4,cis,2.126,389655.1793
41,D3B-D5,D3B-D5,cis,2.126,451949.0944
42,D3B-D6,D3B-D6,cis,2.127,611452.6523
43,D3B-D7,D3B-D7,cis,2.127,338367.6360
44,D3B-D8,D3B-D8,cis,2.126,557523.4836
45,D3B-D9,D3B-D9,cis,2.126,107888.2101
46,D3B-D10,D3B-D10,cis,2.127,251849.3339
47,D3B-D11,D3B-D11,cis,2.126,317394.2570
48,D3B-D12,D3B-D12,cis,2.129,22736.1150
49,D3B-E1,D3B-E1,cis,2.128,599339.7542
50,D3B-E2,D3B-E2,cis,2.127,503405.9928
51,D3B-E3,D3B-E3,cis,2.128,894859.6787
52,D3B-E4,D3B-E4,cis,2.129,99481.4483
53,D3B-E5,D3B-E5,cis,2.130,455649.6131
54,D3B-E6,D3B-E6,cis,2.127,91096.8640
55,D3B-E7,D3B-E7,cis,2.126,457671.5859
56,D3B-E8,D3B-E8,cis,2.125,458463.5533
57,D3B-E9,D3B-E9,cis,2.126,89645.3895
58,D3B-E10,D3B-E10,cis,2.127,228107.7081
59,D3B-E11,D3B-E11,cis,2.127,289422.6205
60,D3B-E12,D3B-E12,cis,2.127,220662.0103
61,D3B-F1,D3B-F1,cis,2.128,496214.9979
62,D3B-F2,D3B-F2,cis,2.124,352928.2177
63,D3B-F3,D3B-F3,cis,2.127,344700.0127
64,D3B-F4,D3B-F4,cis,2.126,401968.4638
65,D3B-F5,D3B-F5,cis,2.126,383443.8710
66,D3B-F6,D3B-F6,cis,2.128,407770.0399
67,D3B-F7,D3B-F7,cis,2.127,526652.5995
68,D3B-F8,D3B-F8,cis,2.127,392857.6554
69,D3B-F9,D3B-F9,cis,2.128,227714.6529
70,D3B-F10,D3B-F10,cis,2.125,364498.3841
71,D3B-F11,D3B-F11,cis,2.129,433307.6483
