Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
72,D3B-F12,D3B-F12,cis,2.127,309757.6075
73,D3B-G1,D3B-G1,cis,2.129,75968.3155
74,D3B-G2,D3B-G2,cis,2.126,413145.4354
75,D3B-G3,D3B-G3,cis,2.126,512195.8792
76,D3B-G4,D3B-G4,cis,2.127,387462.6005
77,D3B-G5,D3B-G5,cis,2.127,528006.8490
78,D3B-G6,D3B-G6,cis,2.125,911993.6514
79,D3B-G7,D3B-G7,cis,2.125,338328.1254
80,D3B-G8,D3B-G8,cis,2.126,404946.6407
81,D3B-G9,D3B-G9,cis,2.128,354714.9818
82,D3B-G10,D3B-G10,cis,2.129,515195.6995
83,D3B-G11,D3B-G11,cis,2.126,405823.9524
84,D3B-G12,D3B-G12,cis,2.128,357265.3661
85,D3B-H1,D3B-H1,cis,2.126,479641.8980
86,D3B-H2,D3B-H2,cis,2.127,329719.3860
87,D3B-H3,D3B-H3,cis,2.127,436935.8792
88,D3B-H4,D3B-H4,cis,2.128,288905.3789
89,D3B-H5,D3B-H5,cis,2.130,417428.8056
90,D3B-H6,D3B-H6,cis,2.128,333670.1039
91,D3B-H7,D3B-H7,cis,2.128,396698.9963
92,D3B-H8,D3B-H8,cis,2.132,69132.9905
93,D3B-H9,D3B-H9,cis,2.126,308194.3662
94,D3B-H10,D3B-H10,cis,2.126,269639.5018
95,D3B-H11,D3B-H11,cis,2.126,97469.0375
96,D3B-H12,D3B-H12,cis,2.129,413108.4359
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3B-A1,D3B-A1,trans,2.600,10853.9543
2,D3B-A2,D3B-A2,trans,2.602,433518.9154
3,D3B-A3,D3B-A3,trans,2.600,380147.3705
4,D3B-A4,D3B-A4,trans,2.600,268016.1642
5,D3B-A5,D3B-A5,trans,2.600,435253.8933
6,D3B-A6,D3B-A6,trans,2.601,245949.4452
7,D3B-A7,D3B-A7,trans,2.599,339548.7866
8,D3B-A8,D3B-A8,trans,2.599,386834.5843
9,D3B-A9,D3B-A9,trans,2.600,314849.0182
10,D3B-A10,D3B-A10,trans,2.601,333084.5700
11,D3B-A11,D3B-A11,trans,2.601,363225.7367
12,D3B-A12,D3B-A12,trans,2.601,423401.5957
13,D3B-B1,D3B-B1,trans,2.600,145793.7365
14,D3B-B2,D3B-B2,trans,2.602,425124.1638
15,D3B-B3,D3B-B3,trans,2.604,445097.9696
16,D3B-B4,D3B-B4,trans,2.605,405541.0945
17,D3B-B5,D3B-B5,trans,2.602,465787.5987
18,D3B-B6,D3B-B6,trans,2.602,129737.8982
19,D3B-B7,D3B-B7,trans,2.604,361114.4743
20,D3B-B8,D3B-B8,trans,2.603,557661.6679
21,D3B-B9,D3B-B9,trans,2.602,311838.8260
22,D3B-B10,D3B-B10,trans,2.604,430333.2746
23,D3B-B11,D3B-B11,trans,2.605,245152.8650
24,D3B-B12,D3B-B12,trans,2.605,73172.5382
25,D3B-C1,D3B-C1,trans,2.600,482880.2160
26,D3B-C2,D3B-C2,trans,2.601,491354.0928
27,D3B-C3,D3B-C3,trans,2.603,437932.3302
28,D3B-C4,D3B-C4,trans,2.604,298609.0275
29,D3B-C5,D3B-C5,trans,2.607,453242.4894
30,D3B-C6,D3B-C6,trans,2.603,444533.8549
31,D3B-C7,D3B-C7,trans,2.604,446317.7272
32,D3B-C8,D3B-C8,trans,2.605,63592.5993
33,D3B-C9,D3B-C9,trans,2.604,332870.2011
34,D3B-C10,D3B-C10,trans,2.603,427268.6911
35,D3B-C11,D3B-C11,trans,2.603,37098.1546
36,D3B-C12,D3B-C12,trans,2.604,423382.2696
37,D3B-D1,D3B-D1,trans,2.606,418932.3939
38,D3B-D2,D3B-D2,trans,2.604,418247.8066
39,D3B-D3,D3B-D3,trans,2.605,395701.8830
40,D3B-D4,D3B-D4,trans,2.601,399075.9992
41,D3B-D5,D3B-D5,trans,2.603,374380.6460
42,D3B-D6,D3B-D6,trans,2.605,486982.8554
43,D3B-D7,D3B-D7,trans,2.600,329408.4068
44,D3B-D8,D3B-D8,trans,2.603,465760.3973
45,D3B-D9,D3B-D9,trans,2.601,166724.1653
46,D3B-D10,D3B-D10,trans,2.603,203758.0496
47,D3B-D11,D3B-D11,trans,2.602,239362.5199
48,D3B-D12,D3B-D12,trans,2.604,24153.2063
49,D3B-E1,D3B-E1,trans,2.605,470252.4118
50,D3B-E2,D3B-E2,trans,2.605,425057.4808
51,D3B-E3,D3B-E3,trans,2.604,293747.8012
52,D3B-E4,D3B-E4,trans,2.605,82508.5393
53,D3B-E5,D3B-E5,trans,2.605,375537.5463
54,D3B-E6,D3B-E6,trans,2.604,68779.9210
55,D3B-E7,D3B-E7,trans,2.603,363614.9366
56,D3B-E8,D3B-E8,trans,2.602,358480.3159
57,D3B-E9,D3B-E9,trans,2.604,197599.0344
58,D3B-E10,D3B-E10,trans,2.603,196122.2629
59,D3B-E11,D3B-E11,trans,2.604,236634.6837
60,D3B-E12,D3B-E12,trans,2.603,187347.8773
61,D3B-F1,D3B-F1,trans,2.605,486095.5847
62,D3B-F2,D3B-F2,trans,2.600,337319.9734
63,D3B-F3,D3B-F3,trans,2.603,338689.6163
64,D3B-F4,D3B-F4,trans,2.602,356961.1409
65,D3B-F5,D3B-F5,trans,2.605,427742.4316
66,D3B-F6,D3B-F6,trans,2.604,385210.9547
67,D3B-F7,D3B-F7,trans,2.604,369203.3727
68,D3B-F8,D3B-F8,trans,2.602,284856.3655
69,D3B-F9,D3B-F9,trans,2.604,217385.6097
70,D3B-F10,D3B-F10,trans,2.600,351504.1163
71,D3B-F11,D3B-F11,trans,2.607,368380.1687
72,D3B-F12,D3B-F12,trans,2.605,296023.1797
73,D3B-G1,D3B-G1,trans,2.603,77046.0949
74,D3B-G2,D3B-G2,trans,2.605,368130.0723
75,D3B-G3,D3B-G3,trans,2.603,287674.4937
76,D3B-G4,D3B-G4,trans,2.602,362893.8497
77,D3B-G5,D3B-G5,trans,2.602,396049.5939
78,D3B-G6,D3B-G6,trans,2.600,259767.2709
79,D3B-G7,D3B-G7,trans,2.602,302477.0815
80,D3B-G8,D3B-G8,trans,2.602,339492.2161
81,D3B-G9,D3B-G9,trans,2.604,275788.4344
82,D3B-G10,D3B-G10,trans,2.602,339974.9198
83,D3B-G11,D3B-G11,trans,2.601,326875.9807
84,D3B-G12,D3B-G12,trans,2.604,345406.1835
85,D3B-H1,D3B-H1,trans,2.603,466202.2925
86,D3B-H2,D3B-H2,trans,2.604,321430.7450
87,D3B-H3,D3B-H3,trans,2.604,433684.7561
88,D3B-H4,D3B-H4,trans,2.603,243138.2593
89,D3B-H5,D3B-H5,trans,2.608,326010.9611
90,D3B-H6,D3B-H6,trans,2.606,335936.7741
91,D3B-H7,D3B-H7,trans,2.604,304967.9179
92,D3B-H8,D3B-H8,trans,2.610,50042.8739
93,D3B-H9,D3B-H9,trans,2.604,318869.9336
94,D3B-H10,D3B-H10,trans,2.603,235819.7720
95,D3B-H11,D3B-H11,trans,2.602,87494.3467
96,D3B-H12,D3B-H12,trans,2.603,357128.8641
