Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D5B-A1,D5B-A1,cis,2.133,18746.6044
2,D5B-A2,D5B-A2,cis,2.132,584542.7271
3,D5B-A3,D5B-A3,cis,2.133,734690.6446
4,D5B-A4,D5B-A4,cis,2.132,641151.6992
5,D5B-A5,D5B-A5,cis,2.130,767871.3042
6,D5B-A6,D5B-A6,cis,2.131,121429.1831
7,D5B-A7,D5B-A7,cis,2.131,645831.6130
8,D5B-A8,D5B-A8,cis,2.136,115824.9923
9,D5B-A9,D5B-A9,cis,2.130,760866.9817
10,D5B-A10,D5B-A10,cis,2.135,23164.0981
11,D5B-A11,D5B-A11,cis,2.130,514002.9260
12,D5B-A12,D5B-A12,cis,2.134,743196.2595
13,D5B-B1,D5B-B1,cis,2.132,867189.3538
14,D5B-B2,D5B-B2,cis,2.131,46978.0588
15,D5B-B3,D5B-B3,cis,2.132,395514.7172
16,D5B-B4,D5B-B4,cis,2.130,286523.1558
17,D5B-B5,D5B-B5,cis,2.129,566791.7095
18,D5B-B6,D5B-B6,cis,2.131,727478.5773
19,D5B-B7,D5B-B7,cis,2.130,410281.5922
20,D5B-B8,D5B-B8,cis,2.127,781128.4172
21,D5B-B9,D5B-B9,cis,2.131,71026.1050
22,D5B-B10,D5B-B10,cis,2.129,705076.9369
23,D5B-B11,D5B-B11,cis,2.132,374229.1788
24,D5B-B12,D5B-B12,cis,2.133,693899.7632
25,D5B-C1,D5B-C1,cis,2.131,407462.9704
26,D5B-C2,D5B-C2,cis,2.131,527914.2021
27,D5B-C3,D5B-C3,cis,2.132,287965.1160
28,D5B-C4,D5B-C4,cis,2.132,501048.2650
29,D5B-C5,D5B-C5,cis,2.130,463152.1511
30,D5B-C6,D5B-C6,cis,2.132,212203.6877
31,D5B-C7,D5B-C7,cis,2.133,466677.1032
32,D5B-C8,D5B-C8,cis,2.131,545917.0059
33,D5B-C9,D5B-C9,cis,2.132,77815.5676
34,D5B-C10,D5B-C10,cis,2.130,420686.8860
35,D5B-C11,D5B-C11,cis,2.130,585612.3146
36,D5B-C12,D5B-C12,cis,2.130,393138.2853
37,D5B-D1,D5B-D1,cis,2.133,103518.9917
38,D5B-D2,D5B-D2,cis,2.129,513729.9142
39,D5B-D3,D5B-D3,cis,2.132,112433.9717
