Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D5F-A1,D5F-A1,cis,2.133,11106.2063
2,D5F-A2,D5F-A2,cis,2.132,489488.9167
3,D5F-A3,D5F-A3,cis,2.132,499622.0714
4,D5F-A4,D5F-A4,cis,2.134,138827.5531
5,D5F-A5,D5F-A5,cis,2.135,455030.9466
6,D5F-A6,D5F-A6,cis,2.132,97407.3080
7,D5F-A7,D5F-A7,cis,2.131,301784.3914
8,D5F-A8,D5F-A8,cis,2.133,520897.0960
9,D5F-A9,D5F-A9,cis,2.131,302685.0095
10,D5F-A10,D5F-A10,cis,2.129,500065.6083
11,D5F-A11,D5F-A11,cis,2.132,59649.0118
12,D5F-A12,D5F-A12,cis,2.136,12015.6652
13,D5F-B1,D5F-B1,cis,2.131,204550.6366
14,D5F-B2,D5F-B2,cis,2.134,23744.1770
15,D5F-B3,D5F-B3,cis,2.133,149839.1279
16,D5F-B4,D5F-B4,cis,2.131,33167.2756
17,D5F-B5,D5F-B5,cis,2.131,254871.5217
18,D5F-B6,D5F-B6,cis,2.133,26348.3511
19,D5F-B7,D5F-B7,cis,2.135,22465.2149
20,D5F-B8,D5F-B8,cis,2.132,282204.6715
21,D5F-B9,D5F-B9,cis,2.133,40522.0170
22,D5F-B10,D5F-B10,cis,2.136,50301.1105
23,D5F-B11,D5F-B11,cis,2.129,332181.4544
24,D5F-B12,D5F-B12,cis,2.132,331905.2096
25,D5F-C1,D5F-C1,cis,2.131,131163.6875
26,D5F-C2,D5F-C2,cis,2.134,160851.2424
27,D5F-C3,D5F-C3,cis,2.131,212613.9401
28,D5F-C4,D5F-C4,cis,2.135,161880.0639
29,D5F-C5,D5F-C5,cis,2.132,122674.3560
30,D5F-C6,D5F-C6,cis,2.134,61269.5508
31,D5F-C7,D5F-C7,cis,2.132,65340.6879
32,D5F-C8,D5F-C8,cis,2.133,131219.2747
33,D5F-C9,D5F-C9,cis,2.130,41249.3927
34,D5F-C10,D5F-C10,cis,2.132,38435.1748
35,D5F-C11,D5F-C11,cis,2.132,252032.1795
36,D5F-C12,D5F-C12,cis,2.132,250839.1735
37,D5F-D1,D5F-D1,cis,2.132,160181.2515
38,D5F-D2,D5F-D2,cis,2.133,34388.3251
39,D5F-D3,D5F-D3,cis,2.133,204548.0085
40,D5F-D4,D5F-D4,cis,2.133,89891.1158
41,D5F-D5,D5F-D5,cis,2.131,55735.1784
42,D5F-D6,D5F-D6,cis,2.131,67488.0844
43,D5F-D7,D5F-D7,cis,2.132,8730.5770
44,D5F-D8,D5F-D8,cis,2.132,62380.6598
45,D5F-D9,D5F-D9,cis,2.132,35686.7871
46,D5F-D10,D5F-D10,cis,2.130,169248.9941
47,D5F-D11,D5F-D11,cis,2.130,146784.9859
48,D5F-D12,D5F-D12,cis,2.135,172533.0375
49,D5F-E1,D5F-E1,cis,2.134,21062.9184
50,D5F-E2,D5F-E2,cis,2.133,14098.6145
51,D5F-E3,D5F-E3,cis,2.131,202786.6924
52,D5F-E4,D5F-E4,cis,2.131,187399.1423
53,D5F-E5,D5F-E5,cis,2.132,109838.8960
54,D5F-E6,D5F-E6,cis,2.130,197217.4786
55,D5F-E7,D5F-E7,cis,2.131,366393.1992
56,D5F-E8,D5F-E8,cis,2.132,203689.2587
57,D5F-E9,D5F-E9,cis,2.131,60162.8312
58,D5F-E10,D5F-E10,cis,2.134,275347.2948
59,D5F-E11,D5F-E11,cis,2.132,96052.8247
60,D5F-E12,D5F-E12,cis,2.133,284502.8634
61,D5F-F1,D5F-F1,cis,2.133,307685.3794
62,D5F-F2,D5F-F2,cis,2.133,239908.1481
63,D5F-F3,D5F-F3,cis,2.133,267657.1086
64,D5F-F4,D5F-F4,cis,2.132,313269.7751
65,D5F-F5,D5F-F5,cis,2.132,314372.2753
66,D5F-F6,D5F-F6,cis,2.132,140098.6079
67,D5F-F7,D5F-F7,cis,2.132,248007.6688
68,D5F-F8,D5F-F8,cis,2.132,162566.5390
69,D5F-F9,D5F-F9,cis,2.133,30722.5434
70,D5F-F10,D5F-F10,cis,2.133,273960.8837
71,D5F-F11,D5F-F11,cis,2.133,72565.1771
72,D5F-F12,D5F-F12,cis,2.131,87133.9264
73,D5F-G1,D5F-G1,cis,2.132,26657.0936
74,D5F-G2,D5F-G2,cis,2.130,51524.6563
75,D5F-G3,D5F-G3,cis,2.134,1142187.0607
76,D5F-G4,D5F-G4,cis,2.137,116692.4879
77,D5F-G5,D5F-G5,cis,2.135,418357.7928
78,D5F-G6,D5F-G6,cis,2.134,478651.5127
79,D5F-G7,D5F-G7,cis,2.133,409627.5263
80,D5F-G8,D5F-G8,cis,2.135,294563.5310
81,D5F-G9,D5F-G9,cis,2.131,390913.9989
82,D5F-G10,D5F-G10,cis,2.132,139853.2739
83,D5F-G11,D5F-G11,cis,2.133,514789.0344
84,D5F-G12,D5F-G12,cis,2.131,546843.2959
85,D5F-H1,D5F-H1,cis,2.135,446045.1382
86,D5F-H2,D5F-H2,cis,2.136,447044.2929
87,D5F-H3,D5F-H3,cis,2.131,476627.2869
88,D5F-H4,D5F-H4,cis,2.133,436420.6888
89,D5F-H5,D5F-H5,cis,2.131,343049.9102
90,D5F-H6,D5F-H6,cis,2.132,274512.3076
91,D5F-H7,D5F-H7,cis,2.131,356185.9105
92,D5F-H8,D5F-H8,cis,2.133,12775.6734
93,D5F-H9,D5F-H9,cis,2.135,452471.0967
94,D5F-H10,D5F-H10,cis,2.133,74252.8382
95,D5F-H11,D5F-H11,cis,2.134,70319.7917
96,D5F-H12,D5F-H12,cis,2.134,573425.0169
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D5F-A1,D5F-A1,trans,,
2,D5F-A2,D5F-A2,trans,2.608,413123.9307
3,D5F-A3,D5F-A3,trans,2.608,437474.9122
4,D5F-A4,D5F-A4,trans,2.611,64871.0689
5,D5F-A5,D5F-A5,trans,2.608,645865.7220
6,D5F-A6,D5F-A6,trans,2.611,46959.9782
7,D5F-A7,D5F-A7,trans,2.610,314390.6442
8,D5F-A8,D5F-A8,trans,2.611,402873.2571
9,D5F-A9,D5F-A9,trans,2.608,271783.8446
10,D5F-A10,D5F-A10,trans,2.607,447981.9178
11,D5F-A11,D5F-A11,trans,2.609,40477.2580
12,D5F-A12,D5F-A12,trans,,
13,D5F-B1,D5F-B1,trans,2.610,142265.7763
14,D5F-B2,D5F-B2,trans,2.613,15394.9945
15,D5F-B3,D5F-B3,trans,2.607,130670.9764
16,D5F-B4,D5F-B4,trans,2.609,11826.7087
17,D5F-B5,D5F-B5,trans,2.610,214895.9624
18,D5F-B6,D5F-B6,trans,2.612,16706.9417
19,D5F-B7,D5F-B7,trans,2.611,16100.3854
20,D5F-B8,D5F-B8,trans,2.609,219042.1098
21,D5F-B9,D5F-B9,trans,2.610,14300.6313
22,D5F-B10,D5F-B10,trans,2.611,21613.1856
23,D5F-B11,D5F-B11,trans,2.607,318522.2736
24,D5F-B12,D5F-B12,trans,2.612,376194.2657
25,D5F-C1,D5F-C1,trans,2.611,273037.1820
26,D5F-C2,D5F-C2,trans,2.616,115356.2818
27,D5F-C3,D5F-C3,trans,2.609,245960.1969
28,D5F-C4,D5F-C4,trans,2.612,116894.9823
29,D5F-C5,D5F-C5,trans,2.611,84520.0666
30,D5F-C6,D5F-C6,trans,2.611,36936.4115
31,D5F-C7,D5F-C7,trans,2.608,31712.0645
32,D5F-C8,D5F-C8,trans,2.611,99016.0394
33,D5F-C9,D5F-C9,trans,2.607,20658.0051
34,D5F-C10,D5F-C10,trans,2.608,25987.2621
35,D5F-C11,D5F-C11,trans,2.611,201973.9721
36,D5F-C12,D5F-C12,trans,2.607,356625.8693
37,D5F-D1,D5F-D1,trans,2.608,110355.9258
38,D5F-D2,D5F-D2,trans,2.611,39734.2073
39,D5F-D3,D5F-D3,trans,2.607,136922.2454
40,D5F-D4,D5F-D4,trans,2.607,51185.8388
41,D5F-D5,D5F-D5,trans,2.608,32744.1511
42,D5F-D6,D5F-D6,trans,2.608,38746.2790
43,D5F-D7,D5F-D7,trans,,
44,D5F-D8,D5F-D8,trans,2.608,38656.4204
45,D5F-D9,D5F-D9,trans,2.608,27911.6906
46,D5F-D10,D5F-D10,trans,2.606,136189.1243
47,D5F-D11,D5F-D11,trans,2.606,124805.5427
48,D5F-D12,D5F-D12,trans,2.609,163894.7444
49,D5F-E1,D5F-E1,trans,2.611,15012.0495
50,D5F-E2,D5F-E2,trans,2.608,10636.6251
51,D5F-E3,D5F-E3,trans,2.605,139099.6305
52,D5F-E4,D5F-E4,trans,2.608,131348.8688
53,D5F-E5,D5F-E5,trans,2.609,63659.3082
54,D5F-E6,D5F-E6,trans,2.608,122676.7342
55,D5F-E7,D5F-E7,trans,2.607,112180.3466
56,D5F-E8,D5F-E8,trans,2.609,119802.2322
