Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3F-A1,D3F-A1,cis,,
2,D3F-A2,D3F-A2,cis,2.125,637254.1761
3,D3F-A3,D3F-A3,cis,2.124,488267.4370
4,D3F-A4,D3F-A4,cis,2.126,255632.3224
5,D3F-A5,D3F-A5,cis,2.125,72160.5364
6,D3F-A6,D3F-A6,cis,2.126,572555.0332
7,D3F-A7,D3F-A7,cis,2.122,684392.9733
8,D3F-A8,D3F-A8,cis,2.122,840987.0965
9,D3F-A9,D3F-A9,cis,2.122,77007.3412
10,D3F-A10,D3F-A10,cis,2.123,39163.2330
11,D3F-A11,D3F-A11,cis,2.124,731286.2582
12,D3F-A12,D3F-A12,cis,2.122,952420.0489
13,D3F-B1,D3F-B1,cis,2.122,373088.6589
14,D3F-B2,D3F-B2,cis,2.121,545874.1941
15,D3F-B3,D3F-B3,cis,2.122,602030.8438
16,D3F-B4,D3F-B4,cis,2.123,590826.0100
17,D3F-B5,D3F-B5,cis,2.123,78595.4897
18,D3F-B6,D3F-B6,cis,2.121,592651.6483
19,D3F-B7,D3F-B7,cis,2.122,489504.0059
20,D3F-B8,D3F-B8,cis,2.120,454072.1830
21,D3F-B9,D3F-B9,cis,2.122,256810.6807
22,D3F-B10,D3F-B10,cis,2.120,551008.1821
23,D3F-B11,D3F-B11,cis,2.122,411663.4412
24,D3F-B12,D3F-B12,cis,2.123,647186.1694
25,D3F-C1,D3F-C1,cis,2.121,640577.8784
26,D3F-C2,D3F-C2,cis,2.120,671642.9396
27,D3F-C3,D3F-C3,cis,,
27,,D3F-C3,cis,,
27,,D3F-C3,cis,,
27,,D3F-C3,cis,,
27,,D3F-C3,cis,,
28,D3F-C4,D3F-C4,cis,2.120,649112.1922
29,D3F-C5,D3F-C5,cis,2.122,569376.4673
30,D3F-C6,D3F-C6,cis,2.122,567431.8188
31,D3F-C7,D3F-C7,cis,2.125,510973.1928
32,D3F-C8,D3F-C8,cis,2.124,605499.7079
33,D3F-C9,D3F-C9,cis,2.122,639670.5239
34,D3F-C10,D3F-C10,cis,2.124,367380.6539
35,D3F-C11,D3F-C11,cis,2.124,597936.4640
36,D3F-C12,D3F-C12,cis,2.123,511339.1659
37,D3F-D1,D3F-D1,cis,2.121,494588.2640
38,D3F-D2,D3F-D2,cis,2.121,480250.6177
39,D3F-D3,D3F-D3,cis,2.123,620722.7196
40,D3F-D4,D3F-D4,cis,2.123,504920.9119
41,D3F-D5,D3F-D5,cis,2.121,417556.5667
42,D3F-D6,D3F-D6,cis,2.122,438740.3537
43,D3F-D7,D3F-D7,cis,2.122,451575.5428
44,D3F-D8,D3F-D8,cis,2.120,461585.2524
45,D3F-D9,D3F-D9,cis,2.119,32005.9178
46,D3F-D10,D3F-D10,cis,,
47,D3F-D11,D3F-D11,cis,2.120,607263.6232
48,D3F-D12,D3F-D12,cis,2.123,565065.2013
49,D3F-E1,D3F-E1,cis,2.121,559963.5407
50,D3F-E2,D3F-E2,cis,2.122,446473.3996
51,D3F-E3,D3F-E3,cis,2.123,608925.4679
52,D3F-E4,D3F-E4,cis,2.123,602355.2466
53,D3F-E5,D3F-E5,cis,2.124,605143.9236
54,D3F-E6,D3F-E6,cis,2.121,551998.2812
55,D3F-E7,D3F-E7,cis,2.124,563327.8027
56,D3F-E8,D3F-E8,cis,2.122,494179.6869
57,D3F-E9,D3F-E9,cis,2.123,644879.0302
58,D3F-E10,D3F-E10,cis,2.124,373746.2974
59,D3F-E11,D3F-E11,cis,2.123,585128.3369
60,D3F-E12,D3F-E12,cis,2.125,473682.7662
61,D3F-F1,D3F-F1,cis,2.125,99636.8871
62,D3F-F2,D3F-F2,cis,2.125,689726.8154
63,D3F-F3,D3F-F3,cis,2.124,618238.5377
64,D3F-F4,D3F-F4,cis,2.127,655717.6615
65,D3F-F5,D3F-F5,cis,2.124,630536.4709
66,D3F-F6,D3F-F6,cis,2.127,641800.6960
67,D3F-F7,D3F-F7,cis,2.125,1101096.1811
