Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
68,D3F-F8,D3F-F8,cis,2.125,508444.6234
69,D3F-F9,D3F-F9,cis,2.127,554727.1250
70,D3F-F10,D3F-F10,cis,2.125,541820.4015
71,D3F-F11,D3F-F11,cis,2.123,576955.4786
72,D3F-F12,D3F-F12,cis,2.124,456177.6701
73,D3F-G1,D3F-G1,cis,2.127,604186.8560
74,D3F-G2,D3F-G2,cis,2.124,485546.0229
75,D3F-G3,D3F-G3,cis,2.127,546073.8805
76,D3F-G4,D3F-G4,cis,2.128,444288.1747
77,D3F-G5,D3F-G5,cis,2.126,611079.7516
78,D3F-G6,D3F-G6,cis,2.125,538954.5755
79,D3F-G7,D3F-G7,cis,2.124,591912.3758
80,D3F-G8,D3F-G8,cis,2.126,593869.0844
81,D3F-G9,D3F-G9,cis,2.125,680857.5808
82,D3F-G10,D3F-G10,cis,2.124,530641.9680
83,D3F-G11,D3F-G11,cis,2.128,588279.1601
84,D3F-G12,D3F-G12,cis,2.126,498801.8755
85,D3F-H1,D3F-H1,cis,2.127,512513.7777
86,D3F-H2,D3F-H2,cis,2.128,618460.4631
87,D3F-H3,D3F-H3,cis,2.127,631036.9859
88,D3F-H4,D3F-H4,cis,2.124,629911.3070
89,D3F-H5,D3F-H5,cis,2.126,163363.0363
90,D3F-H6,D3F-H6,cis,2.123,644191.0585
91,D3F-H7,D3F-H7,cis,2.127,633796.7325
92,D3F-H8,D3F-H8,cis,2.126,54833.8229
93,D3F-H9,D3F-H9,cis,2.125,643125.7114
94,D3F-H10,D3F-H10,cis,2.125,562409.2148
95,D3F-H11,D3F-H11,cis,2.127,660627.3702
96,D3F-H12,D3F-H12,cis,2.126,633223.4089
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3F-A1,D3F-A1,trans,,
2,D3F-A2,D3F-A2,trans,2.602,287893.7723
3,D3F-A3,D3F-A3,trans,2.649,114108.3541
4,D3F-A4,D3F-A4,trans,2.600,144744.6698
5,D3F-A5,D3F-A5,trans,2.599,55820.5348
6,D3F-A6,D3F-A6,trans,2.602,372470.1241
7,D3F-A7,D3F-A7,trans,2.597,448002.3106
8,D3F-A8,D3F-A8,trans,2.596,341392.8835
9,D3F-A9,D3F-A9,trans,2.598,64417.0636
10,D3F-A10,D3F-A10,trans,2.597,25778.9545
11,D3F-A11,D3F-A11,trans,2.598,529349.8409
12,D3F-A12,D3F-A12,trans,2.593,495292.7151
13,D3F-B1,D3F-B1,trans,2.595,326238.9819
14,D3F-B2,D3F-B2,trans,2.595,401138.9823
15,D3F-B3,D3F-B3,trans,2.597,401846.7939
16,D3F-B4,D3F-B4,trans,2.598,427046.0386
17,D3F-B5,D3F-B5,trans,2.595,87814.1373
18,D3F-B6,D3F-B6,trans,2.596,424695.3553
19,D3F-B7,D3F-B7,trans,2.596,374568.2334
20,D3F-B8,D3F-B8,trans,2.595,374584.6088
21,D3F-B9,D3F-B9,trans,2.599,423425.4961
22,D3F-B10,D3F-B10,trans,2.593,460228.9888
23,D3F-B11,D3F-B11,trans,2.598,322232.0768
24,D3F-B12,D3F-B12,trans,2.597,486252.3249
25,D3F-C1,D3F-C1,trans,2.597,458961.9567
26,D3F-C2,D3F-C2,trans,2.595,368496.1004
27,D3F-C3,D3F-C3,trans,,
27,,D3F-C3,trans,,
27,,D3F-C3,trans,,
27,,D3F-C3,trans,,
27,,D3F-C3,trans,,
28,D3F-C4,D3F-C4,trans,2.594,404427.8976
29,D3F-C5,D3F-C5,trans,2.597,460676.0712
30,D3F-C6,D3F-C6,trans,2.597,398835.3509
31,D3F-C7,D3F-C7,trans,2.597,398122.4146
32,D3F-C8,D3F-C8,trans,2.598,426002.4102
33,D3F-C9,D3F-C9,trans,2.598,445915.9600
34,D3F-C10,D3F-C10,trans,2.598,380924.5619
35,D3F-C11,D3F-C11,trans,2.597,464579.5767
36,D3F-C12,D3F-C12,trans,2.598,390261.9895
37,D3F-D1,D3F-D1,trans,2.597,483237.4534
38,D3F-D2,D3F-D2,trans,2.596,357283.5968
39,D3F-D3,D3F-D3,trans,2.600,522582.9172
40,D3F-D4,D3F-D4,trans,2.595,406856.6274
41,D3F-D5,D3F-D5,trans,2.595,327446.2062
42,D3F-D6,D3F-D6,trans,2.598,341382.3893
43,D3F-D7,D3F-D7,trans,2.596,349137.8855
44,D3F-D8,D3F-D8,trans,2.596,354172.6735
45,D3F-D9,D3F-D9,trans,2.594,112405.8881
46,D3F-D10,D3F-D10,trans,,
47,D3F-D11,D3F-D11,trans,2.594,472026.1472
48,D3F-D12,D3F-D12,trans,2.597,461995.8643
49,D3F-E1,D3F-E1,trans,2.596,432891.6883
50,D3F-E2,D3F-E2,trans,2.597,388460.9626
51,D3F-E3,D3F-E3,trans,2.642,193431.5737
52,D3F-E4,D3F-E4,trans,2.598,580417.5190
53,D3F-E5,D3F-E5,trans,2.598,459664.7811
54,D3F-E6,D3F-E6,trans,2.596,433555.6460
55,D3F-E7,D3F-E7,trans,2.598,434604.5055
56,D3F-E8,D3F-E8,trans,2.598,362591.1867
57,D3F-E9,D3F-E9,trans,2.597,530344.1942
58,D3F-E10,D3F-E10,trans,2.600,262402.1128
59,D3F-E11,D3F-E11,trans,2.598,505472.4521
60,D3F-E12,D3F-E12,trans,2.602,478780.5962
61,D3F-F1,D3F-F1,trans,2.599,176579.9307
62,D3F-F2,D3F-F2,trans,2.599,570151.4207
63,D3F-F3,D3F-F3,trans,2.597,491505.4700
64,D3F-F4,D3F-F4,trans,2.600,482615.7998
65,D3F-F5,D3F-F5,trans,2.599,540198.4821
66,D3F-F6,D3F-F6,trans,2.603,438149.6165
67,D3F-F7,D3F-F7,trans,2.600,444037.7434
68,D3F-F8,D3F-F8,trans,2.600,492535.3901
69,D3F-F9,D3F-F9,trans,2.603,430265.5050
70,D3F-F10,D3F-F10,trans,2.601,441548.1668
71,D3F-F11,D3F-F11,trans,2.649,171132.0763
72,D3F-F12,D3F-F12,trans,2.602,403085.0967
73,D3F-G1,D3F-G1,trans,2.601,580914.6977
74,D3F-G2,D3F-G2,trans,2.602,424774.0288
75,D3F-G3,D3F-G3,trans,2.601,464345.5700
76,D3F-G4,D3F-G4,trans,2.604,372734.2429
77,D3F-G5,D3F-G5,trans,2.603,476191.9021
78,D3F-G6,D3F-G6,trans,2.601,490129.8820
79,D3F-G7,D3F-G7,trans,2.600,487767.4166
80,D3F-G8,D3F-G8,trans,2.603,471977.7873
81,D3F-G9,D3F-G9,trans,2.603,430599.3437
82,D3F-G10,D3F-G10,trans,2.599,397405.1714
83,D3F-G11,D3F-G11,trans,2.604,476504.6339
84,D3F-G12,D3F-G12,trans,2.601,431319.6790
85,D3F-H1,D3F-H1,trans,2.605,516343.6003
86,D3F-H2,D3F-H2,trans,2.604,499519.4334
87,D3F-H3,D3F-H3,trans,2.602,480723.3046
88,D3F-H4,D3F-H4,trans,2.602,485052.7543
89,D3F-H5,D3F-H5,trans,2.602,197888.0122
90,D3F-H6,D3F-H6,trans,2.597,489817.7418
91,D3F-H7,D3F-H7,trans,2.603,538769.8844
92,D3F-H8,D3F-H8,trans,2.601,51378.8478
93,D3F-H9,D3F-H9,trans,2.598,519048.4843
94,D3F-H10,D3F-H10,trans,2.648,169763.7864
95,D3F-H11,D3F-H11,trans,2.602,507402.1993
96,D3F-H12,D3F-H12,trans,2.602,540362.6633
