Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4F-A1,D4F-A1,cis,2.127,34191.0932
2,D4F-A2,D4F-A2,cis,2.128,32321.4894
3,D4F-A3,D4F-A3,cis,2.128,619346.1747
4,D4F-A4,D4F-A4,cis,2.129,36342.8795
5,D4F-A5,D4F-A5,cis,2.128,654877.3701
6,D4F-A6,D4F-A6,cis,2.129,670224.2709
7,D4F-A7,D4F-A7,cis,2.128,1054343.3452
8,D4F-A8,D4F-A8,cis,2.129,609315.9028
9,D4F-A9,D4F-A9,cis,2.129,92826.7431
10,D4F-A10,D4F-A10,cis,2.128,737092.4409
11,D4F-A11,D4F-A11,cis,2.128,615215.1638
12,D4F-A12,D4F-A12,cis,2.128,759705.9716
13,D4F-B1,D4F-B1,cis,2.129,115194.0322
14,D4F-B2,D4F-B2,cis,2.128,315607.4215
15,D4F-B3,D4F-B3,cis,2.128,504359.2507
16,D4F-B4,D4F-B4,cis,2.128,520516.8175
17,D4F-B5,D4F-B5,cis,2.129,587920.7637
18,D4F-B6,D4F-B6,cis,2.129,567471.9927
19,D4F-B7,D4F-B7,cis,2.131,54086.5612
20,D4F-B8,D4F-B8,cis,2.126,611712.2209
21,D4F-B9,D4F-B9,cis,2.127,405320.1681
22,D4F-B10,D4F-B10,cis,2.129,54342.7119
23,D4F-B11,D4F-B11,cis,2.128,684015.5635
24,D4F-B12,D4F-B12,cis,2.130,613265.5279
25,D4F-C1,D4F-C1,cis,2.129,494255.0965
26,D4F-C2,D4F-C2,cis,2.129,469542.4289
27,D4F-C3,D4F-C3,cis,2.127,489422.6305
28,D4F-C4,D4F-C4,cis,2.128,513605.7132
29,D4F-C5,D4F-C5,cis,2.125,608869.3274
30,D4F-C6,D4F-C6,cis,2.130,568712.1507
31,D4F-C7,D4F-C7,cis,2.129,443983.5124
32,D4F-C8,D4F-C8,cis,2.130,535903.0651
33,D4F-C9,D4F-C9,cis,2.128,101821.2212
34,D4F-C10,D4F-C10,cis,2.130,496059.4862
35,D4F-C11,D4F-C11,cis,2.127,571336.5573
36,D4F-C12,D4F-C12,cis,2.129,565049.4954
37,D4F-D1,D4F-D1,cis,2.129,80150.2966
38,D4F-D2,D4F-D2,cis,2.127,448080.8355
39,D4F-D3,D4F-D3,cis,2.128,484043.9733
40,D4F-D4,D4F-D4,cis,2.129,514792.7184
41,D4F-D5,D4F-D5,cis,2.129,95086.5794
42,D4F-D6,D4F-D6,cis,2.130,590417.6526
43,D4F-D7,D4F-D7,cis,2.127,529273.1562
44,D4F-D8,D4F-D8,cis,2.128,283574.1779
45,D4F-D9,D4F-D9,cis,2.127,525650.4915
46,D4F-D10,D4F-D10,cis,2.129,331775.6381
47,D4F-D11,D4F-D11,cis,2.126,553553.0767
48,D4F-D12,D4F-D12,cis,2.128,625483.5673
49,D4F-E1,D4F-E1,cis,2.130,151248.4263
50,D4F-E2,D4F-E2,cis,2.129,427186.8174
51,D4F-E3,D4F-E3,cis,2.131,604542.4857
52,D4F-E4,D4F-E4,cis,2.130,290921.0416
53,D4F-E5,D4F-E5,cis,2.130,392983.0850
54,D4F-E6,D4F-E6,cis,2.129,543212.6534
55,D4F-E7,D4F-E7,cis,2.129,563308.2300
56,D4F-E8,D4F-E8,cis,2.130,335647.8244
57,D4F-E9,D4F-E9,cis,2.130,541411.0912
58,D4F-E10,D4F-E10,cis,2.129,537315.9343
59,D4F-E11,D4F-E11,cis,2.131,410320.7723
60,D4F-E12,D4F-E12,cis,2.130,279991.3487
61,D4F-F1,D4F-F1,cis,2.130,541516.5910
62,D4F-F2,D4F-F2,cis,2.129,63373.4734
63,D4F-F3,D4F-F3,cis,2.132,512636.7839
64,D4F-F4,D4F-F4,cis,2.130,520130.1479
65,D4F-F5,D4F-F5,cis,2.128,540598.3832
66,D4F-F6,D4F-F6,cis,2.129,572707.5878
67,D4F-F7,D4F-F7,cis,2.128,427257.5565
68,D4F-F8,D4F-F8,cis,2.131,517160.6112
69,D4F-F9,D4F-F9,cis,2.130,474997.0374
70,D4F-F10,D4F-F10,cis,2.129,533141.7941
71,D4F-F11,D4F-F11,cis,2.129,499571.9947
72,D4F-F12,D4F-F12,cis,2.129,78672.9230
73,D4F-G1,D4F-G1,cis,2.130,477868.5054
74,D4F-G2,D4F-G2,cis,2.132,536665.8652
75,D4F-G3,D4F-G3,cis,2.130,482609.7873
76,D4F-G4,D4F-G4,cis,2.132,94406.5440
77,D4F-G5,D4F-G5,cis,2.131,531255.9925
78,D4F-G6,D4F-G6,cis,2.131,451538.8134
79,D4F-G7,D4F-G7,cis,2.129,497684.1167
80,D4F-G8,D4F-G8,cis,2.131,471937.5085
81,D4F-G9,D4F-G9,cis,2.130,646129.2580
82,D4F-G10,D4F-G10,cis,2.133,530186.4620
83,D4F-G11,D4F-G11,cis,2.132,174521.0042
84,D4F-G12,D4F-G12,cis,2.131,414566.4914
85,D4F-H1,D4F-H1,cis,2.131,312972.2325
86,D4F-H2,D4F-H2,cis,2.131,338271.8583
87,D4F-H3,D4F-H3,cis,2.131,495290.3068
88,D4F-H4,D4F-H4,cis,2.128,807612.9295
89,D4F-H5,D4F-H5,cis,2.130,289841.3488
90,D4F-H6,D4F-H6,cis,2.130,525789.9480
91,D4F-H7,D4F-H7,cis,2.132,446062.1129
92,D4F-H8,D4F-H8,cis,2.130,38853.2255
93,D4F-H9,D4F-H9,cis,2.129,345506.0682
94,D4F-H10,D4F-H10,cis,2.131,542165.6722
95,D4F-H11,D4F-H11,cis,2.129,489587.9309
96,D4F-H12,D4F-H12,cis,2.130,608083.9162
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4F-A1,D4F-A1,trans,2.604,26047.3851
2,D4F-A2,D4F-A2,trans,2.605,23513.5582
3,D4F-A3,D4F-A3,trans,2.604,486633.5954
4,D4F-A4,D4F-A4,trans,2.605,30401.3656
5,D4F-A5,D4F-A5,trans,2.605,278256.2230
6,D4F-A6,D4F-A6,trans,2.607,504536.2393
7,D4F-A7,D4F-A7,trans,2.605,583203.5301
8,D4F-A8,D4F-A8,trans,2.606,455702.4559
9,D4F-A9,D4F-A9,trans,2.605,112884.8500
10,D4F-A10,D4F-A10,trans,2.606,570436.9327
11,D4F-A11,D4F-A11,trans,2.604,496511.6459
