Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
12,D4F-A12,D4F-A12,trans,2.604,758922.0242
13,D4F-B1,D4F-B1,trans,2.605,129004.9503
14,D4F-B2,D4F-B2,trans,2.604,301968.6491
15,D4F-B3,D4F-B3,trans,2.605,363488.3837
16,D4F-B4,D4F-B4,trans,2.605,480755.0920
17,D4F-B5,D4F-B5,trans,2.604,501944.0029
18,D4F-B6,D4F-B6,trans,2.607,449981.2031
19,D4F-B7,D4F-B7,trans,2.606,37937.4535
20,D4F-B8,D4F-B8,trans,2.602,520324.3675
21,D4F-B9,D4F-B9,trans,2.604,335305.9294
22,D4F-B10,D4F-B10,trans,2.603,75137.0182
23,D4F-B11,D4F-B11,trans,2.606,554797.7489
24,D4F-B12,D4F-B12,trans,2.606,514728.5057
25,D4F-C1,D4F-C1,trans,2.603,387231.8762
26,D4F-C2,D4F-C2,trans,2.607,377678.1208
27,D4F-C3,D4F-C3,trans,2.603,362591.0318
28,D4F-C4,D4F-C4,trans,2.605,364403.1107
29,D4F-C5,D4F-C5,trans,2.604,484991.9818
30,D4F-C6,D4F-C6,trans,2.604,418209.2472
31,D4F-C7,D4F-C7,trans,2.606,393953.7192
32,D4F-C8,D4F-C8,trans,2.608,496888.1626
33,D4F-C9,D4F-C9,trans,2.603,193845.8895
34,D4F-C10,D4F-C10,trans,2.606,434646.0688
35,D4F-C11,D4F-C11,trans,2.601,469559.3511
36,D4F-C12,D4F-C12,trans,2.607,452590.6995
37,D4F-D1,D4F-D1,trans,2.606,70635.3664
38,D4F-D2,D4F-D2,trans,2.604,344822.0769
39,D4F-D3,D4F-D3,trans,2.604,415993.4908
40,D4F-D4,D4F-D4,trans,2.606,462890.5976
41,D4F-D5,D4F-D5,trans,2.608,115763.1468
42,D4F-D6,D4F-D6,trans,2.605,480223.9252
43,D4F-D7,D4F-D7,trans,2.604,461099.3833
44,D4F-D8,D4F-D8,trans,2.604,340456.1581
45,D4F-D9,D4F-D9,trans,2.606,417154.8875
46,D4F-D10,D4F-D10,trans,2.605,489899.1198
47,D4F-D11,D4F-D11,trans,2.604,465973.2310
48,D4F-D12,D4F-D12,trans,2.607,475774.9080
49,D4F-E1,D4F-E1,trans,2.607,231638.2096
50,D4F-E2,D4F-E2,trans,2.607,318170.1922
51,D4F-E3,D4F-E3,trans,2.607,482067.0071
52,D4F-E4,D4F-E4,trans,2.608,254904.9287
53,D4F-E5,D4F-E5,trans,2.606,478945.6049
54,D4F-E6,D4F-E6,trans,2.608,442652.7962
55,D4F-E7,D4F-E7,trans,2.609,456183.1239
56,D4F-E8,D4F-E8,trans,2.605,446500.7955
57,D4F-E9,D4F-E9,trans,2.604,460352.4236
58,D4F-E10,D4F-E10,trans,2.606,458554.1736
59,D4F-E11,D4F-E11,trans,2.608,391080.1235
60,D4F-E12,D4F-E12,trans,2.607,226030.9328
61,D4F-F1,D4F-F1,trans,2.608,494772.1010
62,D4F-F2,D4F-F2,trans,2.608,67759.8173
63,D4F-F3,D4F-F3,trans,2.608,363951.0495
64,D4F-F4,D4F-F4,trans,2.608,432304.0475
65,D4F-F5,D4F-F5,trans,2.654,205761.9142
66,D4F-F6,D4F-F6,trans,2.609,447145.8326
67,D4F-F7,D4F-F7,trans,2.607,373197.5780
68,D4F-F8,D4F-F8,trans,2.608,474852.0396
69,D4F-F9,D4F-F9,trans,2.606,475586.1764
70,D4F-F10,D4F-F10,trans,2.606,458182.7854
71,D4F-F11,D4F-F11,trans,2.607,428413.2223
72,D4F-F12,D4F-F12,trans,2.606,145667.3860
73,D4F-G1,D4F-G1,trans,2.607,425564.1494
74,D4F-G2,D4F-G2,trans,2.608,487942.0999
75,D4F-G3,D4F-G3,trans,2.606,423318.4010
76,D4F-G4,D4F-G4,trans,2.610,158204.0604
77,D4F-G5,D4F-G5,trans,2.608,458313.1616
78,D4F-G6,D4F-G6,trans,2.679,115717.9250
79,D4F-G7,D4F-G7,trans,2.605,425662.5885
80,D4F-G8,D4F-G8,trans,2.607,391701.3222
81,D4F-G9,D4F-G9,trans,2.610,462490.5840
82,D4F-G10,D4F-G10,trans,2.609,461937.5312
83,D4F-G11,D4F-G11,trans,2.608,204972.9583
84,D4F-G12,D4F-G12,trans,2.607,353705.6473
85,D4F-H1,D4F-H1,trans,2.610,509035.0152
86,D4F-H2,D4F-H2,trans,2.608,369025.3538
87,D4F-H3,D4F-H3,trans,2.607,435900.5244
88,D4F-H4,D4F-H4,trans,2.605,461798.2239
89,D4F-H5,D4F-H5,trans,2.606,347575.0409
90,D4F-H6,D4F-H6,trans,2.605,447449.4999
91,D4F-H7,D4F-H7,trans,2.607,419472.2965
92,D4F-H8,D4F-H8,trans,2.608,28099.1848
93,D4F-H9,D4F-H9,trans,2.604,404259.6331
94,D4F-H10,D4F-H10,trans,2.607,450943.8222
95,D4F-H11,D4F-H11,trans,2.609,469731.4689
96,D4F-H12,D4F-H12,trans,2.608,649023.9225
